word,frequency
的,39555
了,23085
我,20594
不,19100
！,16007
是,13537
你,8653
么,8361
一,7967
就,7061
都,6820
在,6514
来,6503
好,5863
人,5636
有,5468
…,5302
这,5102
要,5076
也,4430
啊,4277
想,4128
个,3930
？,3829
还,3700
到,3655
自己,3339
会,3333
说,3324
和,3129
能,3128
一个,3093
着,3014
没,3000
看,2973
真,2939
家,2914
去,2699
多,2684
又,2480
上,2479
很,2452
被,2309
他,2265
天,2213
得,2189
给,2188
没有,2183
过,2140
大,2126
那,2089
让,1961
吃,1925
太,1864
年,1814
今天,1782
做,1718
把,1692
最,1676
为,1621
对,1596
只,1570
次,1512
我们,1507
吗,1503
知道,1501
现在,1481
吧,1478
怎,1475
里,1461
时候,1451
出,1411
再,1407
死,1389
下,1359
睡,1341
还是,1307
两,1291
才,1291
什,1266
中,1260
小,1253
起,1243
这个,1232
点,1223
用,1205
可以,1192
她,1181
爱,1126
回,1117
这样,1100
后,1077
感觉,1069
呢,1028
喜欢,1006
因为,983
妈,983
从,970
等,967
月,956
?,953
事,942
觉得,936
买,934
走,919
越,915
~,888
跟,888
完,870
你们,867
谁,866
几,858
真是,856
为什,840
但,825
害怕,818
已经,818
而,811
与,808
别人,791
开心,783
快,783
却,754
发现,753
一直,751
东西,741
三,734
时间,734
看到,731
更,720
打,717
第一,710
开始,709
带,695
时,692
可,690
哪,684
钱,674
居然,672
像,661
!,659
当,650
地,648
找,646
晚上,646
生活,624
之,622
啦,619
心情,617
每天,613
还有,612
成,608
连,589
一起,587
工作,581
朋友,580
然后,580
种,580
事情,577
心,577
这种,576
前,559
～,558
一样,557
可怕,556
但是,555
发,553
开,551
话,539
睡觉,532
它,531
就是,526
哭,524
比,524
以后,520
怕,515
结果,514
新,512
最近,511
狗,510
如果,509
竟然,509
长,507
以,503
玩,502
希望,499
手机,499
本,498
见,498
每,497
问,496
突然,494
叫,487
微博,486
明天,486
世界,482
并,479
该,476
可是,472
一下,467
呀,465
干,463
那个,462
难,460
好好,458
中国,456
嘛,456
拿,455
别,453
吓,453
累,452
惊恐,450
最后,446
他们,445
早,444
总,443
听,439
恐怖,436
梦,436
写,433
日,432
于,431
一定,430
掉,428
住,425
啥,421
生日,418
将,416
岁,416
醒,415
小时,414
心里,413
敢,410
已,409
快乐,409
特别,409
逼,405
幸福,404
很多,402
够,398
总是,397
妈妈,396
烦,396
一点,395
所以,394
句,393
其实,391
喝,390
终于,388
原,386
脸,385
们,384
以为,378
刚,375
讨厌,372
变,368
坐,366
孩子,365
跑,365
条,363
应该,361
所有,359
错,358
放,357
进,356
还要,355
如,354
问题,353
受,351
昨天,350
虽然,347
早上,343
那些,343
需要,342
公司,340
简直,340
各种,339
电话,336
无,332
高,330
学校,328
老,328
件,327
告诉,327
四,325
一切,323
行,323
人生,317
拍,317
美,316
车,314
可能,313
晚安,312
懂,310
过去,309
久,307
分,307
分钟,307
老师,307
全,305
活,305
半,301
所,301
有些,300
恐惧,298
永远,298
换,297
这些,297
容易,296
未,296
骂,295
差,294
块,293
其,292
醉,292
想到,290
二,289
傻,288
地方,288
办,287
张,287
笑,286
宝宝,284
少,284
靠,284
送,283
号,281
特,280
上班,279
努力,279
说话,277
好像,273
下去,271
搞,271
请,271
手,269
或,268
路,268
重要,268
出去,265
帮,265
疼,265
自,265
一些,264
大学,263
以前,261
算,260
水,254
到底,253
好多,253
痛,253
阿,252
之前,251
之后,251
衣服,251
遇到,250
女,249
日子,249
弄,246
花,245
身边,245
管,242
价,241
忍,241
气,239
洗,239
眼睛,239
陪,239
饿,239
卧槽,237
及,237
同,237
晚,235
直接,235
看看,235
选择,235
内,234
坏,234
接,233
觉,232
头,231
五,230
多少,230
男,228
冷,227
床,227
拉,227
每次,227
继续,227
吃饭,226
穿,225
美好,225
非常,224
忙,223
准备,221
哎,221
想起,221
内心,220
冬天,220
无法,220
疯,220
下午,219
发生,219
只是,219
每个,219
有点,218
遍,218
而且,217
停,216
整个,216
昨晚,216
丢,214
书,214
学,213
卖,211
由,210
电影,210
快递,209
生,209
讲,209
位,208
噩梦,208
如此,208
有人,208
向,205
眼,205
出现,204
明明,204
肚子,203
同学,202
哦,202
刚刚,201
气死,201
生气,200
天天,199
变成,198
样子,198
饭,198
十,197
女人,197
打电话,197
男人,197
相信,197
国,196
失眠,195
则,194
图,193
改,193
而是,193
雪,192
中午,188
挺,188
泪,188
站,188
